Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
ACD010A,What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,None
ACD010B,What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,None
ACD010C,What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,None
ACD040,Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,None
SEQN,Respondent sequence number.,ACQ_D,Acculturation,2005,2006,Questionnaire,None
ALQ101,"The next questions are about drinking alcoholic beverages.  Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.In any one year, {have you/has SP} had at least 12 drinks of any type of alcoholic beverage?  By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and half ounces of liquor.",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ110,"In {your/SP's} entire life, {have you/has he/ has she} had at least 12 drinks of any type of alcoholic beverage?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ120Q,"In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} drink?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ120U,UNIT OF MEASURE.,ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ130,"In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ140Q,"In the past 12 months, on how many days did {you/SP} have 5 or more drinks of any alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} have 5 or more drinks in a single day?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ140U,UNIT OF MEASURE.,ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ150,Was there ever a time or times in {your/SP's} life when {you/he/she} drank 5 or more drinks of any kind of alcoholic beverage almost every day?,ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
SEQN,Respondent sequence number.,ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
AGD020,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had hay fever?,AGQ_D,Allergy,2005,2006,Questionnaire,None
AGD050,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had allergies?,AGQ_D,Allergy,2005,2006,Questionnaire,None
AGD170,At what age did this itchy rash first occur?,AGQ_D,Allergy,2005,2006,Questionnaire,None
AGQ010,Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} hay fever?,AGQ_D,Allergy,2005,2006,Questionnaire,None
AGQ030,"During the past 12 months, {have you/has SP} had an episode of hay fever?",AGQ_D,Allergy,2005,2006,Questionnaire,None
AGQ040,Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} allergies?,AGQ_D,Allergy,2005,2006,Questionnaire,None
AGQ060,"During the past 12 months, {have you/has SP} had any allergy symptoms or an allergy attack?",AGQ_D,Allergy,2005,2006,Questionnaire,None
