Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
DRDINT,,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ_MISS,"The number of omitted questionnaire responses where a response was expected.  If, for example, the lead-in question was answered ""no"" or ""never"", then the follow-up questions are expected to be missing and are not counted in the omitted value.",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0001,"Over the past 12 months, how often did you drink tomato juice or vegetable juice?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0002,How often did you drink orange juice or grapefruit juice?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0003,How often did you drink apple juice?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0004,How often did you drink grape juice?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0005,"How often did you drink other 100% fruit juice or 100% fruit juice mixtures (such as pineapple, prune, or others)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0006,"How often did you drink other fruit drinks (such as cranberry cocktail, Hi-C, lemonade, or Kool-Aid, diet or regular)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0006A,How often were your fruit drinks diet or sugar-free drinks?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0007,"How often did you drink milk as a beverage (NOT in coffee, NOT in cereal)?  (Please include chocolate milk and hot chocolate.)",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0007A,What kind of milk did you usually drink?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0008,"How often did you drink meal replacement, energy, or high protein beverages such as Instant Breakfast, Ensure, Slimfast, Sustacal, or others?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0009,"Over the past 12 months, did you drink soft drinks, soda, or pop?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0009A,"How often did you drink soft drinks, soda, or pop IN THE SUMMER?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0009B,"How often did you drink soft drinks, soda, or pop DURING THE REST OF THE YEAR?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0009C,"How often were these soft drinks, soda, or pop diet or sugar-free?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0009D,"How often were these soft drinks, soda, or pop caffeine-free?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0010,"Over the past 12 months, did you drink beer?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0010A,How often did you drink beer IN THE SUMMER?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0010B,How often did you drink beer DURING THE REST OF THE YEAR?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0011,How often did you drink wine or wine coolers?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0012,How often did you drink liquor or mixed drinks?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0013,"Did you eat oatmeal, grits, or other cooked cereal?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0013A,"How often did you eat oatmeal, grits, or other cooked cereal IN THE WINTER?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0013B,"How often did you eat oatmeal, grits, or other cooked cereal DURING THE REST OF THE YEAR?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0013C,How often was the cooked cereal you ate oatmeal?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0014,How often did you eat cold cereal?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0014A,"How often was the cold cereal you ate a whole grain type (such as shredded wheat, Wheaties, Cheerios, Raisin Bran, or other bran,oat, or whole wheat cereal)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0014B,Was milk added to your cold cereal?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0014C,What kind of milk was usually added?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
